@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=7698
%finalNumberOfUsedRawTimeWindows=7698
%initalNumberOfFeatureMatrixEntries=100074
%finalNumberOfFeatureMatrixEntries=100074
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-155.76555436744184,9373.20244584979,30.03175775823256,11.68925384584839,-10.79349419467906,3.61668236699612,1.5566723208004973,6.013349405523833,-5.748173923509051,10.433314588279227,-5.282151347277211,3.4282671559386944,-4.516818722604976,3.762513628377751,-2.4914021784907,6.192754310101744,-1.319707130419672,7.654448155667974,-2.836529075631744,5.8176276689001325,-1.612203652641861,3.6627354050527368,-1.3143834794482838,5.813837323448897,0.1954074326829821,5.865100681819576,milliseconds,0.0,5000.0
-142.79464164351845,90.29875541004685,29.090377002592575,8.471721392235972,-11.051891194671292,2.740472492022136,0.875433740657504,5.688380785534617,-6.064084476990741,7.356904691014282,-5.174464000652778,3.2135411893505275,-3.73527649782745,5.411244215193368,-0.8086366318475933,7.3514396468236,-0.6084212723798146,6.569461264833994,-2.286535339270534,5.7521252061891515,-2.886623657589258,7.374025813482812,-2.0777909986248155,4.156084585825329,0.44952887906569444,5.884616919141441,milliseconds,2500.0,7500.0
-143.0740549814815,69.78043381058103,28.45432161782409,8.983871217299969,-11.825284786805558,3.130498779837503,0.10698467308288888,4.173907124064935,-6.133594240980558,7.865550615108957,-4.693264726861572,2.7699396859918446,-2.237105185887083,3.7099579303724517,0.2786480850560787,5.3207139498134985,-0.06666763805398129,4.901045098247614,-1.7237674852616673,4.208863228425451,-4.035882404534676,8.205694652881682,-2.522695262649352,3.1921433314206187,0.3578936691121297,5.697747051841492,milliseconds,5000.0,10000.0
-143.38218583778797,62.949024545245834,29.060288565161272,4.974093543853001,-11.72154614925345,4.001895454916456,0.7341585189087106,5.188194469324066,-5.522592369965897,9.330181762736332,-5.240017092268755,4.821260597321196,-2.4001777178520736,3.4198437624701694,-0.06730781461541008,6.047045026414251,-0.13922829592344715,3.833658710700918,-1.9311601247246548,5.109505654902607,-4.003291264697144,6.338925040050942,-2.046647267172672,4.3235374348784035,1.2474810125555664,7.734183354501797,milliseconds,7500.0,12500.0
-143.22707285694443,67.40362452349281,29.358914452083326,5.720350138457827,-10.32014494637963,2.9863531514496797,1.4617111346293528,4.917688482196625,-4.829872396845662,8.375964090495788,-6.110035479658428,5.680522770156439,-2.539056327163192,3.9060127102100317,0.4001626789827916,5.776181995452887,-0.6455356007233237,3.129971607933522,-2.1849091052660174,5.799164429228643,-4.75250127009259,3.516003598493614,-1.7929417829342138,4.655364404523484,2.078181863076194,6.688739599081261,milliseconds,10000.0,15000.0
-145.8761197907408,49.61547667805689,29.679467831712973,6.663859534773144,-10.389271305731482,2.4489382986191632,1.598553749013334,6.079441592844857,-5.511158147906076,9.55504433933853,-5.825766874775,4.855054142892559,-2.9846125141480098,4.181151433099328,-0.7505312085407875,10.219831571465452,-0.7549459686507363,5.783162572220477,-2.568729775612176,5.874849161277411,-3.805505019656109,6.026899880369451,-1.3645810983754727,5.068727798010015,1.1435837484437041,6.621744446297056,milliseconds,12500.0,17500.0
-147.1154594949309,57.08934039400162,29.432691164654365,6.019090904000006,-11.18980040627189,3.5447631395498203,1.5195223143381564,8.517501961133425,-6.092549705670278,10.306115038733736,-4.9429351433212005,4.575848220088193,-4.102225283851472,3.1833969193329783,-1.9757299546038254,9.711121203909174,-0.3615077603976912,8.151751985259626,-2.8728117744160375,6.42971953947753,-2.126959816304885,4.690443549488903,-0.9379374852866822,5.232741561381103,0.6502227926836865,6.3266509775431885,milliseconds,15000.0,20000.0
-148.1771786810186,71.39997030201742,29.273082933009253,6.894655999259065,-10.72807501010185,4.563467611781284,0.6833770087632594,7.911392773596619,-5.254283963025461,8.862429473483004,-4.267602034800047,4.557785126674564,-3.376904798893842,4.4302598378502305,-1.6933505183470845,7.203175908574643,-2.011538479325925,10.533204475999794,-3.305507440909212,5.0222937173222695,-1.069969056833149,5.280311224832629,-0.32807137397776887,5.677538817294771,-0.6000786665137959,7.404316594743319,milliseconds,17500.0,22500.0
-146.3464750518518,95.92650537771871,28.40926688958335,10.034600909405262,-10.945508145962961,3.947825400308805,0.38467112300029593,6.763825215194587,-4.97729952193492,7.316784530775123,-3.6299125079182875,4.202364416326707,-2.682793933809584,3.3791455577799643,-1.3954234465118995,4.908383960089931,-3.5658171652721298,4.503735208014433,-4.153056440388888,1.8227258115078075,-0.07919357643540278,4.797272635968491,0.18807196801143497,4.816291148868243,-1.4105130545001048,4.137321890194854,milliseconds,20000.0,25000.0
-146.09162843133635,80.71800407289004,28.88616160414746,9.025151523408537,-11.549185868603683,3.000430688471079,0.9831698249211522,7.281851035937374,-6.019694273507108,7.016636473410056,-4.507956702404794,4.745586932225098,-2.7746913061220284,2.970540261142679,-1.6527287019236725,4.961053686383628,-1.7758971296273742,5.082994781143389,-2.7971615653055304,4.999260475920165,-1.6993202312485103,9.713409709991575,-1.0452980513587105,5.265632160303989,-0.5796773865117651,2.716088705094966,milliseconds,22500.0,27500.0
