@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=12042
%finalNumberOfUsedRawTimeWindows=12042
%initalNumberOfFeatureMatrixEntries=156546
%finalNumberOfFeatureMatrixEntries=156546
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-209.20771601674414,68483.55537058187,11.300043065163715,28.138086390274903,-3.4635754213376253,8.368837497661996,1.7546860463481335,3.9056411328262297,-1.8231246884965084,5.04458565926953,-2.0044575909447806,6.9301622740190485,-4.581362603917199,16.73749553702761,-0.8185586963926526,9.45652103035167,-1.3447247126922366,5.6692663232559966,2.264284867124686,4.243537891962783,-0.1764796209241407,4.318910474354264,1.307543860380382,3.2783475349821862,0.804469258205401,2.3358784745513086,milliseconds,0.0,5000.0
-117.88712925462968,13.966868307663654,12.012563967560187,5.9349876776679125,-2.082739671977084,2.8674047338961652,2.048423825968241,2.005570179631787,-2.959650703829688,2.1562627994716284,-1.6797142824216655,4.457779850294333,-2.707794985506945,3.3290234495735547,0.8950867518330603,3.024492763490273,-1.5641609446776252,3.2179917422926447,2.6901622987074547,2.9403545380888434,-1.2563259165343152,2.2015174200207586,0.5831698747086113,2.3395829661316854,-0.7705237504851389,3.5175437554511575,milliseconds,2500.0,7500.0
-118.7291049430555,17.569805533269637,11.943881426162038,5.990646147714947,-2.238227500401528,3.204231068395924,1.948195885169906,2.0784075050387947,-2.7980099973016803,3.032077835539778,-1.2529534791918506,5.1218638387955115,-2.1804528758335646,3.348998782270356,0.8222119672508105,3.0953001191751377,-0.7443551097963559,2.1419335975069953,2.9461162774331946,2.7974565898756705,-0.9727722404948707,1.8581764788162356,0.09412478474958348,2.838304000673791,-2.0219515191999533,1.9260900695681413,milliseconds,5000.0,10000.0
-119.6939151041475,15.955244956588801,13.218591532852537,4.507346262254062,-3.2745534942182934,2.6315616711236656,2.112738414280323,3.135780028892146,-2.503404115904839,4.815830609302339,-0.5112280945990322,3.160046175176594,-2.388924067367926,2.588043213930422,0.16251596737175586,2.1026342451172684,-0.4342318303428388,2.307685522276878,2.137590617915208,2.859134587604118,-0.9289426920425347,1.826677651808567,-0.11982491188161327,2.1810950037570653,-1.3831320333052983,2.1727571699138046,milliseconds,7500.0,12500.0
-117.01371436527778,13.301878723473173,13.467219858282409,4.126307891830717,-2.9227801966129623,2.9355315881275525,1.9245435060294904,3.253363961129961,-2.8343191217893495,4.057727632149956,-0.9444503737237497,2.864845849295949,-2.2589798647112533,3.400376767455591,0.15023123573674083,1.8874080590132625,-0.7519292573752777,2.594803105444442,1.338864790682297,2.600295008466876,-1.351654390910536,2.4544134407387115,0.4140995852716666,2.07437546403036,-0.8083601793595471,2.276890824158245,milliseconds,10000.0,15000.0
-115.92880233055558,9.205115675912062,13.940854129759268,4.1873900797470265,-2.3140054666196965,4.39218955883464,2.1790432401323616,3.063556373858862,-3.4011000016055553,1.890130906861987,-0.7580199458808795,3.5018834934206753,-2.2555566260226905,3.61488710284654,0.3010921035286112,2.3991078716400214,-0.9851851143916206,2.2255114202457875,1.1697801673194252,2.5230261813486807,-1.5638276901835144,2.0650022616829413,0.20678568943268516,2.328265024343066,-1.1076726772712961,2.852640045405056,milliseconds,12500.0,17500.0
-116.25848325161292,11.803214248674426,13.419608071235023,4.951230037062038,-3.035888585666607,5.05290060495389,2.674922058853872,3.333039176103289,-3.306903513964422,3.34246593796154,-0.9088154168565895,3.62208647277959,-2.253204125867829,3.367885596037378,1.1318983527803694,3.2930466564736975,-0.0158882846845622,2.428733385344097,1.3490444461604103,2.127601489280566,-0.7208259859716462,2.2480285316167485,-0.753608625339217,2.2010684254567803,-1.1532068397661654,2.048612744786278,milliseconds,15000.0,20000.0
-118.06848958101845,18.4079623965374,13.203549280115748,4.472308279412642,-3.530863721395834,2.4279485320625493,2.375768570926574,3.251424874660933,-2.9674260204119443,3.924850549327247,-1.1008452840930427,2.4007200514503975,-1.5463780377589766,2.284428112718933,1.2426855201314313,2.598264753949323,0.47634372157407406,1.8840732364965418,1.7867600449421244,1.8155080105584571,-0.31556528473543666,1.9677777851494596,-1.7242835890821766,1.7525112127489384,-1.888783490729074,1.940581257895079,milliseconds,17500.0,22500.0
-121.44134747083332,35.52081133016402,13.554471786680555,4.876547637299581,-2.7725259499846295,3.30242508851186,1.577765514150671,3.280754564584769,-2.3864684429338694,4.43510107404931,-0.763539050875171,3.5856802741800626,-1.083431163697681,3.292958339359317,-0.19738134683414815,3.080156766869876,-0.8349754226512963,4.35897800571772,1.3376965519476398,2.7023571667618334,-0.2438533831636111,1.9730688292151541,-1.0609665629478233,3.228431247900719,-1.7462470120779305,3.1765569623216177,milliseconds,20000.0,25000.0
-117.93157605299537,56.95197045933026,12.622843372105994,4.853546862762993,-2.4603293277846996,3.4992334318979528,0.7698284657479033,3.194034343240824,-2.749546193974267,4.644804334450513,-0.5035204356697699,4.425027401856716,-0.7526089534485205,3.729947068621753,-0.8950281546589121,3.4743009183900817,-1.5814502845409673,3.1812836748371347,0.6348089283037003,2.412988375490681,-0.34824051885207374,2.2927302884735963,0.010523067996064499,2.1836850193893205,-0.7205296595261703,2.9984990499013824,milliseconds,22500.0,27500.0
