@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=2160
%finalNumberOfUsedRawTimeWindows=2160
%initalNumberOfFeatureMatrixEntries=28080
%finalNumberOfFeatureMatrixEntries=28080
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-182.6519235831628,9606.176998122837,32.06865336103255,45.875907101918536,1.3579670285094423,118.79237868527909,1.3288995462019069,30.967403029097692,-0.5586968894343441,12.506622797286713,-2.6659136946002766,8.05667874812335,-4.364423209220184,21.92673082299956,-3.5206550385703728,19.711907645511026,-1.7515921209699987,8.41416864198237,-0.40359285250869936,7.042465259922431,-0.6740114915798144,5.355617811464853,-0.16334580262284132,7.961544327860726,1.1278701862430243,10.011144750004817,milliseconds,0.0,5000.0
-168.63840785083332,344.4256404611516,35.40432352060185,20.768596708611852,1.4178781752018519,98.58420856066276,-0.7759923373451849,9.775218467971897,-1.9574167365393051,3.895609018343009,-3.124098348932407,4.253715830518257,-5.114839265892186,16.724322249327017,-4.442588193194028,12.405624599856989,-2.604102082007592,3.5771128578062155,-1.432895651814722,6.103092150903431,-0.6487214426274166,6.413331767617573,0.19836320934953697,6.600854252989588,1.7576678512525927,9.373501992068027,milliseconds,2500.0,7500.0
-172.95410055,303.7032472701133,36.25552969083333,13.867562539124904,5.095976880274026,38.170195641991604,-0.6084508900491664,6.7235210307516295,-2.4863790962156944,5.812722241701368,-2.922740978889913,3.1020469263361443,-2.636922822601445,8.700852512692652,-2.929434129272732,10.684886957319065,-2.7427917396215302,3.8788984192972826,-2.0896249596701852,1.8081708445430578,-1.780696920436306,4.540526175966543,-0.8992534925184259,4.664032128316374,0.8217304782531484,5.851177612816133,milliseconds,5000.0,10000.0
-169.52379171935488,308.1314635194773,37.05710072986176,19.41266433480989,3.7799720397679257,34.04649754657554,-1.2660306341527654,8.098876759173505,-2.9885886493631326,7.315427509670422,-2.3195471436724002,5.672682975746124,-0.37953721990382455,14.674850067945355,-2.618677835081796,10.887787862167173,-3.4061650969063124,5.09156937284724,-1.8761990395992216,1.8898936345244792,-2.1816412476481575,4.257309167583269,-0.19876560676136826,5.6568057724392675,-0.7947833340888023,6.845345787901787,milliseconds,7500.0,12500.0
-162.3828022106482,250.5522886193941,37.600370592175906,25.583245647146256,1.9796638623673606,45.337778625049886,-1.0625505499999075,6.998984358290681,-2.3483360934378235,7.389599610746796,-1.978931940120158,5.770099809542473,-1.0314759186412492,26.499444312384753,-2.261195098102963,7.082622142508564,-2.802155698603101,4.186560912299944,-1.4730624185244026,3.911959879161967,-0.9923714801157878,7.338141855201739,1.2224752089283006,2.8666790296773574,0.3928548524086619,14.038826182479397,milliseconds,10000.0,15000.0
-162.4609374236112,260.61215141252296,36.413908674120364,22.172131323583102,0.6744122580057477,38.78502482639763,-1.1582468181827779,8.067630287200778,-2.316772507445972,7.691763044468625,-2.6275395552077168,4.833937532816678,-2.2189402168613235,20.729313272217528,-2.8067393188182423,11.10302607442397,-2.46907139448125,3.204084463134847,-1.3020293705777544,4.997950254565573,-1.221928480846621,6.955791087530507,0.16331511136486088,6.454193873092628,0.9356110743097305,11.713285335539627,milliseconds,12500.0,17500.0
-175.64970430829496,319.8214195737022,36.15734486391705,15.005703552209686,4.644228452277565,28.31508508625314,-1.145023907352903,8.410890794407186,-3.6231135581053473,7.871572656487538,-3.54626121849453,4.543205229499953,-2.504524910857862,16.574443093519193,-4.085084477463363,17.116402780266547,-2.48791304062083,4.910636473664395,-0.5413241862321746,3.847404827388744,-1.2228541228958931,4.3643016922695805,-0.5025412484388021,3.8050008509616493,-0.2411207215965628,3.928987707674141,milliseconds,15000.0,20000.0
-191.72162859537042,382.8315541929633,32.73372447064815,22.422963931595252,9.922488256868007,30.423776799001097,3.8886003485208813,35.5401051236935,-2.9577357812841685,7.047332907350779,-4.702762368235229,4.659860672685277,-4.163743326917871,11.794153656230352,-3.825616802466202,14.030843226088457,-2.7087505199377495,4.234800759766754,-0.7092979013566805,3.1381207456495326,-0.43933501922087287,2.4608326056563876,0.04763044761162503,2.4647048938152114,0.7188369415118522,4.122987709728868,milliseconds,17500.0,22500.0
-176.59721573365732,992.3096489432749,32.59365013194446,26.90379454417788,2.7806018323912007,131.5194138000476,3.0273589405213466,42.20359094742593,-2.1064591896089806,3.1064826528623257,-3.675686273804166,5.677513718791278,-1.179894848264075,9.899002203186766,-1.511734064820601,5.950753235462911,-3.5947814705783077,2.965371711882172,-2.7010105512090554,3.1157453875007133,-2.854587556301898,4.225294351366233,-0.5835411970215232,2.7413580964934576,-0.35969248050923636,4.846027229586513,milliseconds,20000.0,25000.0
-157.7749966645161,750.7363423075269,34.609365051428554,25.175641624690364,-6.0595485701676095,63.84037596396025,-2.243111582597282,3.8224825893836796,-2.934048667752351,3.728922838811144,-2.3515484647267275,2.3084202791879944,-0.4336103806683868,7.646497275597528,-2.8630346209063116,7.194939855954039,-4.620753749981565,2.988995973192345,-3.1200568680670666,3.0640100608069036,-3.216245431223825,3.504190490811252,-1.2316342105034097,1.8769491442758288,-1.4122428997656677,3.4778025039984515,milliseconds,22500.0,27500.0
-152.93230762495367,911.1309058503776,30.655513595185166,53.17027152896789,-9.135564145322551,97.1909092453818,-1.4341244803772222,8.3787854135024,-3.099756968291667,5.369035771263784,-3.3210938875634266,4.678859872919206,-4.209815963219076,15.386810904569309,-4.414532617119535,8.31756413823476,-4.522451729039862,3.7940852855563043,-1.3873780809166403,6.334174414887429,-0.8635135065262083,6.097014127857675,0.7796147194989117,11.823772498865491,1.038371194606287,16.089030173464682,milliseconds,25000.0,30000.0
