@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=9331
%finalNumberOfUsedRawTimeWindows=9331
%initalNumberOfFeatureMatrixEntries=121303
%finalNumberOfFeatureMatrixEntries=121303
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-129.2923695548837,19364.539256592783,-5.496262816519485,13.317020395127642,3.758336535162304,8.6014623617471,1.2033614445440923,4.608015206566569,0.7552190275406191,2.6638646294718114,0.38775781621945726,4.607857173534341,-0.2332751679796266,2.1029577192290128,-0.004479023953535595,1.6690111097687113,-0.11147985494909632,1.9493529458336436,-0.28389462391758286,1.8514430444324652,0.5866513922736837,1.9923658781504758,-0.3511258671183765,1.328333203391702,0.5465502862184193,1.1836838810817112,milliseconds,0.0,5000.0
-64.45021743037034,30.434305692427,-3.4338359219211116,3.302338073513005,3.359054052301159,3.626907990831546,2.2302037745010654,2.910458009321962,0.5604448199675415,2.476412093588428,1.1363922496926853,3.593613188218824,-0.03902318220685187,1.7529673809880018,0.12853712300268896,1.6742914946130365,-0.46621471962762046,1.6052543106961008,-0.79131458105787,1.6194156584299029,1.3094870311220834,1.3332817169153577,-0.5608036693752868,1.244073348072139,0.32484356760655103,1.4540174561797188,milliseconds,2500.0,7500.0
-64.41680836976853,13.818107155513042,-3.5779375995368987,3.119888230022442,3.2747764205304644,3.2202468307390633,2.384315637594538,2.7947331075338275,0.43180814566355086,2.248315278822449,1.1179268376587037,2.7162664358040294,-0.03219912337628246,1.76870491216122,0.22393078432372593,1.6879774583960634,-0.36895895337800905,1.363041908349488,-0.914133718537361,1.185998349684451,1.2619976235206483,1.1230070072527798,-0.8135951946261665,1.1480021359461048,0.19603530434015465,1.3612773945212635,milliseconds,5000.0,10000.0
-66.71603239976959,15.97225462045398,-3.4781604179837307,2.7203071377556607,3.195650856269399,3.466426984369343,2.438800372181303,2.5878901762936994,0.3936503301537974,2.5917296260447,0.7898162364888939,2.758971038639955,0.18246838572494473,1.9607740145930692,0.5476734299099173,1.8847300771201088,-0.23563445404069963,1.5857216872036513,-0.8143982737234102,1.5061705495224182,1.553679049663871,1.44343621710037,-0.6578241547649071,1.3943040577853714,0.48039310821386366,1.2631831122681791,milliseconds,7500.0,12500.0
-66.61854222736113,15.76094016605771,-3.238306578059121,2.6088272530335637,3.408464729554768,3.32182882836002,2.010252167058671,1.993630721352199,0.28418852462807415,2.6151287357132076,1.0593407977945832,2.5150378251672785,0.19351570951495367,1.9601341756629977,0.5770324193058239,1.7729729318734198,0.05946261532684357,1.8643355146160248,-0.5345621749157874,1.800219028484918,1.7659178687262445,1.3253222514003704,-0.3359391589981798,1.2857651604749496,0.45225290950018543,1.2576238860457347,milliseconds,10000.0,15000.0
-66.89856638250001,27.28961529816793,-3.6142240980924067,3.258282412550952,3.4341775434802764,4.9442817451893655,2.0037281241152973,2.5158527306213063,0.7564641586404167,3.240398266602473,1.4753941712720366,2.610152637035544,-0.01656237603277775,2.0460941804608805,0.5581513887248843,1.9143758141336458,0.0549526807096155,1.998934531244255,-0.30002067902773155,1.6009773120698947,1.176803142333601,1.6808623429432192,-0.5538787244741994,1.596311220083641,-0.012613020877083245,1.5477274735924553,milliseconds,12500.0,17500.0
-69.35775822082947,40.805899034436976,-2.3988496842600004,7.859501841335406,2.7229057151306004,6.718359639631362,2.92232809108034,3.705405347725502,1.1452517972647511,3.2444084329836094,1.2111579873653453,3.056644237061109,-0.1163421914508756,2.3259746180663075,0.7092073588003918,2.6259587250134566,-0.38192157189525333,2.1190071366747545,-0.6072716187959907,1.7385942052476415,0.36655288942552533,1.5777172431526572,-0.6702263932067508,1.8521526215817712,-0.18746121375064528,1.7601739831125447,milliseconds,15000.0,20000.0
-71.64697435587966,44.524148355537214,-1.4931707706080088,8.999363431656784,2.532364139506342,5.66093088271427,3.7600728564632866,3.506503895500446,1.0596400876357452,3.0855453059067455,1.2027138473510417,3.1284121427558698,-0.013123776801990705,2.3313612541414757,0.4816010381575417,2.440218139373316,-0.481940744626977,2.0429821707746934,-0.5983130951887499,1.909851416427395,-0.3021687820568519,1.5621953228251644,-0.6627463003087036,1.5733900450097422,0.18181439985409398,1.841395894275396,milliseconds,17500.0,22500.0
-71.86624503467594,48.99147680434663,-1.454512143804214,8.550041699844169,2.033349631927916,5.726971797715529,3.850356973726895,3.471593657999794,0.8267745955878705,3.0423361043480184,1.1961640755796066,2.7764186918435483,-0.14387328950291664,2.1198337628990163,0.11043523613685192,2.2023363563457554,-0.648425646564537,1.6465387721125657,-0.7403956268919911,1.7168706105434506,-0.4574859404638423,1.4193708985336815,-0.5829198110423147,1.3406430748009859,0.18657644116223276,1.5573358483887527,milliseconds,20000.0,25000.0
-71.92230153525344,47.73879022158269,-1.1907918463478804,8.460102233485713,1.8626807563807837,4.999546332563943,3.580539099035948,3.3888723369786984,0.5248756601699075,3.188327800571943,1.1701058439673273,2.701455865074318,-0.009321899016405675,2.3184829628107293,-0.05373867963805989,2.637348906005723,-0.5913751145488938,2.086845618029787,-0.695407123276415,1.7550342370623127,-0.47829450150986413,1.287140929517419,-0.8037506932441616,1.9477323060863025,0.21768316297588963,1.3102445995986007,milliseconds,22500.0,27500.0
