@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=6430
%finalNumberOfUsedRawTimeWindows=6430
%initalNumberOfFeatureMatrixEntries=83590
%finalNumberOfFeatureMatrixEntries=83590
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-108.65170895237212,5692.522691176153,3.6612720354738606,57.76491008810437,1.933131520847862,9.353342623980001,1.6030621294272096,6.480019111616223,0.06636158710465125,4.5060103520374435,3.3673351586936255,4.317635848646492,-1.054458724297721,3.5590118271935838,-0.5262045693321404,3.709370932851502,-0.21790649758989697,2.3645833434217844,-1.7973861381262792,4.716605086075206,0.17453204277590684,2.1442909237117838,0.3052919634016257,2.1214065755145155,0.8805368521542798,1.238783136537058,milliseconds,0.0,5000.0
-92.60809765189815,101.25138370554278,0.35633365475587025,4.406936251224249,2.3711052085018074,7.954565915465376,1.3716886868820555,4.634844261038763,-1.086771420741343,3.56130096351928,3.5885819087862982,3.8660814590226757,-0.2991792652611436,3.125601151671625,-0.5095392302870372,2.864614197292929,-0.40935901081438425,2.2391632118063964,-0.8104529661006806,2.0084325317823244,0.4731456897107393,2.2589425284887965,-0.3410533689235137,1.561808466403369,1.2857917650027313,1.288838112636054,milliseconds,2500.0,7500.0
-94.26546735587957,68.03740565543639,0.6848199829302041,5.313401484307086,3.7377890752069014,4.016006763987944,1.342459365913063,4.974297879666488,-1.0967828720496062,3.1957283305910686,3.620886920904354,3.5792177748408487,-0.2944658624599398,2.42018750027614,-0.6215294113179537,2.1752986019971305,-0.4903189837161528,1.8716664818122128,-1.2379469039118374,1.792603596398921,0.497934747448438,1.3614070533694191,-0.6002902594100137,1.3780939670775743,1.147692965927823,1.4837591177437202,milliseconds,5000.0,10000.0
-93.64062285423957,65.56098817614854,0.3911545154780922,5.3063478584702946,3.1029005801869123,4.530816222522524,0.8186293603166275,3.9400862353504396,-0.854403590702129,2.8003938564230864,4.143505393673728,3.6683662033889735,0.38970904990516125,2.412979521494249,-0.5399505256068803,1.7996630268706908,-0.4240873211221336,1.980287659460745,-1.2611129450060277,1.647193962997233,0.51411115961453,1.529141022604484,-0.6783388773058252,1.177056278830781,1.3044621371015206,1.5177081836373645,milliseconds,7500.0,12500.0
-91.22142332175925,42.63156791017486,0.1543999174492823,5.4248383855437385,2.4145991580178703,5.360421069059017,1.0175794606326387,3.5632448239533603,-1.2268709919267917,2.6687395418964797,3.652555676053936,3.273801601026504,0.09739541075714381,3.342642998883069,-0.15436506397351868,2.024105533878746,-0.8358528125543053,2.700636207640039,-1.0392286422051662,1.8842255418034153,0.5126337321443519,2.1397293716416184,-0.23447035548462966,1.5431608174249971,1.355451721124167,1.4157188669843668,milliseconds,10000.0,15000.0
-94.46037802944448,46.20580166211861,0.5423044338942129,5.800103723566803,3.6550434122564357,5.682059735691357,0.6220337691860323,4.527949720635087,-1.2765662832452773,2.6618228654365805,3.630334274223381,2.49550403270453,-0.3398029404877408,2.2871410584749103,-0.4814855490790045,2.4791607581918695,-0.5406596088997824,2.4685746896586154,-1.0407055965626295,2.007939784588678,0.8214424460733798,1.8727337456926405,-0.1760878440796296,1.4632828752587794,1.4128297461723147,1.1679175154115964,milliseconds,12500.0,17500.0
-95.4301346706452,27.997070498309608,0.6517162693737786,4.5179109726854,4.228995773615669,3.596218174770147,-0.04178495229823495,4.565179960099755,-1.5628957366392158,2.7826908169632323,3.592290189379726,2.6764290268585644,-0.2735097224886406,2.107418111392561,-0.7090456337962675,2.375655301383648,0.08414410557215207,2.046497982140947,-0.5689462637744034,1.875124363093644,1.070094068765438,1.7353395301306411,-0.17580886626115214,1.2312738198174875,1.5799118987594467,1.0597741629233033,milliseconds,15000.0,20000.0
-91.50191017912032,35.0396644455739,-0.14991329150983776,7.989188198971881,3.3510670060675913,4.113365228715804,0.8225659658862962,6.478706931935604,-2.0597038483288426,3.206928936836809,3.1462459690886333,2.5951170703129343,-0.0719217718794908,2.469236662671954,-0.09575932718532407,2.805321433128381,-0.22460063068347225,2.7798785887229536,-0.06496489476761805,1.839193699169943,0.9995204765851383,1.7977330791153816,-0.19910688950320368,1.486398323367844,1.4398771536802326,1.4947578957512748,milliseconds,17500.0,22500.0
-89.88554032000008,26.751540530758014,-0.3644656504012038,7.358889106507007,2.5719720331414817,5.01627545787844,0.8236651949133786,7.2975322277940124,-2.366099987976482,4.1281589200549025,3.295903309914838,3.9106198563812433,-0.01672686851799094,3.090003849573649,0.10987017017511563,2.8723590571993345,-0.06007879831586153,2.838303213752408,0.012648030304833325,1.9628452283650053,0.9645639823068426,1.817801210852669,-0.46610564410477756,1.5693422550290892,1.41643422176325,1.6093254122726293,milliseconds,20000.0,25000.0
-89.50521976391703,25.35686842831706,-0.1061611729001291,3.878151907688427,2.2945618932977885,4.82093669901477,0.3741272292829469,5.310665630685981,-2.502428985128109,3.640129917138373,3.2889220535237325,4.0703419625562525,-0.028087038968092125,3.1710896229185472,0.09944287512756314,2.521419130444898,0.02166889197424899,2.2950173955736597,0.07065187519619355,2.1095995877761613,1.0261944019339078,1.6959524964738346,-0.46031201408746075,1.4825140224195925,1.2586948122654011,1.5008728690478748,milliseconds,22500.0,27500.0
