@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=6411
%finalNumberOfUsedRawTimeWindows=6411
%initalNumberOfFeatureMatrixEntries=83343
%finalNumberOfFeatureMatrixEntries=83343
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-137.9741120502791,10338.45590783015,12.301282947634418,11.679341611267864,3.3137617567213353,27.021763666659552,4.011957322180185,5.678703122798435,3.419285372690904,4.823791063178004,1.9497619750798194,2.8947671996913784,1.1690367081284097,2.4301275355079968,0.24628569763490613,3.554621002812585,-0.2993603044080914,1.9802729850996752,-0.042878947782852624,2.2149955926587417,-0.12542919143838951,1.8284111998214823,-0.030589676881739254,1.9514823772533112,-0.5009065799129756,1.9665662746169823,milliseconds,0.0,5000.0
-123.97736580921294,432.1442415770752,11.887307814922687,17.875618151482104,5.4763511585957865,24.510104608233902,2.95294843601929,7.416362993579867,3.6570851708806154,5.0799800892391085,2.400348163319074,2.6908122383517576,1.1729607017546766,2.491234601235175,0.6064017915246991,4.683002924182357,-0.6878017392515278,2.2989386576777657,0.006766327747939737,2.3589699046792343,-0.24087765379894907,1.7819555611486346,-0.5084668766309169,1.6114789957429307,-0.33857528600421305,2.897290361801168,milliseconds,2500.0,7500.0
-112.87557380162035,329.95298928470953,9.901413777862038,24.46554740940357,6.295557487986444,17.3518925762829,0.9007434729709247,12.290549616600128,4.235786646764311,5.04559770068039,2.8619725016179625,5.0882810343516,0.9663371376729581,2.5642551326339023,0.9503929175667593,4.117266297388061,-0.8728527666664813,4.208860501529907,-0.14688828159631942,3.2475606686919245,-0.7301487011579129,1.9386921514733872,-0.82140848866007,1.8119984743101827,-0.2270712475547407,3.148681886899226,milliseconds,5000.0,10000.0
-107.46865886331801,216.3402380358576,10.296669163634554,27.890829742196058,7.393566942215112,12.665730797353534,-0.433629306700034,15.352498163057767,3.5631076342108643,5.650336818247927,2.873834556862445,6.290843421122384,1.2818301099439995,2.8470401703250134,1.375747395024956,4.038893116763724,-0.40898258614133626,5.291155911941372,0.030731400513271837,3.886462611977001,-1.0462163875329922,2.2551947837000688,-0.875584625018387,2.0377272383220157,-0.3813651214446728,1.9239353694964918,milliseconds,7500.0,12500.0
-111.8421650403241,257.895371715828,11.337436427202777,29.399563069793366,7.948490644051857,16.196499451639518,0.8003715170468056,18.250579433301525,3.221325502171666,5.463161512779461,2.508067413752684,4.9177940579753905,1.7549610208467972,3.143562453721884,1.2454895051654669,4.026283201314034,-0.7503898075509677,4.096926135038252,-0.31553372151337955,3.279524816447918,-0.7575791084130096,2.2787183851781805,-0.5729845628584722,2.1861154608898805,-0.5850797720769909,1.5810948991650673,milliseconds,10000.0,15000.0
-113.83079557564814,279.49045090676293,10.496298455617593,26.985052490593812,7.31163805149426,20.15518653682254,1.8068180541188414,9.393636523361444,3.9093230979739815,6.805000263085594,2.1113966855212327,3.821116323791054,1.7435808506650003,3.5339923290466553,0.8449164430113933,3.1270204467074882,-1.048851881906292,3.4979776829105638,-0.5106648558227737,2.236224537393087,-0.2093669835678241,1.7300067828017132,-0.27636723371314825,1.9584576254392638,-0.5484976086329214,1.7401240943987721,milliseconds,12500.0,17500.0
-107.03728573732712,258.13118472560734,8.858642501166406,19.88618868362932,4.55622917685774,21.49630969407165,0.8851397590386407,9.725334963023114,3.7833665653782513,6.634034758756792,2.2107788053934367,5.18825882939313,1.5568946699163873,3.221539505704643,0.47497654329391686,3.246655100612473,-1.1330326974952998,3.859031610204511,-0.6974915231592133,2.2065583165024183,0.04609695226718906,2.704286834721841,-0.2702592150436866,2.0737511355911744,-0.37347378210528587,2.1041635512821357,milliseconds,15000.0,20000.0
-102.11494134902784,178.11997189418088,7.71892241810912,21.00524129480847,3.3392050440103698,15.909195016940687,-0.4044411047230324,14.841810631096248,3.719231927661573,6.549760242535337,3.0204749222806946,6.892067603533259,1.244974564722509,3.195926269627724,0.011638073716685158,3.857279363439455,-1.5823363405553228,3.999545838884899,-0.7012213255519442,2.9569324713796137,0.323619629136912,4.517538619961707,-0.004879827670092633,4.192435196511993,0.16111451991127265,2.764279230182072,milliseconds,17500.0,22500.0
-107.03121942370369,256.9702122353657,8.749389891317595,24.437198167805818,5.389378224197126,20.726082950648326,0.41722130745898167,13.324404941943904,3.9473003858849074,9.018035980054561,2.7109476647494444,5.655473223298817,1.279120444826597,3.5602648752097505,0.17575511994599075,3.054455305389938,-0.853231857845139,4.015846885639443,0.09961957833964255,2.9296862978833675,0.35497046555904155,3.7646355425473588,-0.1779938324248889,4.116006670955434,-0.08212892125413435,2.54018403398309,milliseconds,20000.0,25000.0
-108.48563886317974,324.7291102799795,9.491448745286352,17.88350593074132,6.204739119200093,22.744756736796848,2.0727999446504146,7.838422435970303,4.170100655664101,8.582148684975333,1.6886936851230951,3.8061277486813694,1.4094967885868614,3.89485810746273,0.199887617297827,2.917985563420861,-0.4849200843682997,2.592961720349163,-0.007370605844318789,2.012920231934599,0.19287090241781107,2.7816713210170105,-0.4586654115645895,1.6085496718526364,-0.49535384206637795,1.5423119902064122,milliseconds,22500.0,27500.0
