@RELATION 'Classifier input'
%initialNumberOfUsedRawTimeWindows=9918
%finalNumberOfUsedRawTimeWindows=9918
%initalNumberOfFeatureMatrixEntries=128934
%finalNumberOfFeatureMatrixEntries=128934
%finalNumberOfFeatureVectorEntries=26


@ATTRIBUTE 'Mean_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_3(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_4(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_5(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_6(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_7(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_8(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_9(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_10(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_11(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_12(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Mean_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE 'Std_dev_13(NaN_eliminated(Mel frequency cepstral coefficients))' NUMERIC
@ATTRIBUTE Unit {milliseconds,samples}
@ATTRIBUTE Start NUMERIC
@ATTRIBUTE End NUMERIC

@DATA
-141.16293320734886,1465.8819673005705,-8.438553357530695,91.75721425928889,1.7996539857135814,38.900596385646686,3.076513529121721,8.030046691401669,3.760043895887512,8.996240585597723,1.5425734451335986,4.951826910536703,1.5322693770436833,5.718323768839815,0.4735563562564648,2.9017182082833664,0.020885788759734934,9.567062648438887,-0.6264478589824372,6.747108774378058,-0.14978194815130694,3.639315444089153,1.632103520396753,3.332059852075805,0.539799014598698,3.9062220883849434,milliseconds,0.0,5000.0
-125.43463749222217,884.5927622063763,-4.055762417175135,112.6009989765397,3.7433424193999514,37.765013131431225,2.5895531345387957,11.903997172507523,2.522734458807685,10.583639405579728,1.1977792145419623,8.10081983905073,0.6869607572450465,5.109091413631504,-0.2396038115620369,3.7538265646030573,-0.37792531845774063,7.079337290790932,-0.7982463708383287,3.9840994993587193,0.10752810018733612,4.266178521051419,1.0919175268587589,3.7836802731389008,0.12484438325898156,3.378596738584301,milliseconds,2500.0,7500.0
-116.45416048824072,507.40391131455436,-0.578084658822269,73.61003056414808,5.362676960989302,36.57269103626118,1.9729112319079776,13.929111853166637,2.1425549081011575,12.890110146629914,1.1593844703280096,8.340117043486927,0.20295141876112957,4.3942462647092215,-0.8989896592983333,4.642699715685198,-0.2291047053913934,4.911173841508777,-0.9551767900312732,3.8421465927751854,0.010297435327567514,4.387488750262365,0.48217080386796746,4.247163361305423,-0.04333609975699075,3.115092358562877,milliseconds,5000.0,10000.0
-114.32004170276493,485.9424280969882,-1.0046227119806912,65.09798820144282,3.4959126231562703,45.657245532804964,0.3998708096184006,23.897809784101604,1.7023373692212445,14.083761966281177,1.2662384501475257,7.251233619330902,-0.06631484512126733,5.400526855446111,-1.4029039973868205,5.125130213059545,0.21300606642709666,5.106143702763853,-1.1401447250898775,3.2067981011809894,-0.26359446379496687,3.6043804181639434,0.009049580075069123,4.0749685796617685,-0.10268088198705078,3.5028927053852357,milliseconds,7500.0,12500.0
-109.05871806337963,413.8865621034518,-3.002821895226527,65.01748964717025,1.3366555517181022,40.4984397699239,-0.14385542571060217,28.244325008250645,0.9137136750285185,12.083487942583886,1.0965543598786713,8.731484653891666,-0.03328842888656948,6.194755738880775,-1.2715904393441675,5.214270784773577,0.48466595883937497,4.560370177780882,-0.5379578175203402,3.551096708440645,-0.22774757985292504,2.785048070700204,0.32378668962119905,4.015036392511049,0.06136101471824067,3.468490986806983,milliseconds,10000.0,15000.0
-105.58274525375003,320.41541059122716,-2.8492549885032417,50.675943840216114,1.6603154305574077,38.327839418679844,0.15554846602796293,26.401630844687347,0.9233803856987503,10.904662155729422,1.4379962649500888,9.651180529808638,0.14884871389830112,6.462698832886389,-1.0066172153368056,4.463512742322922,0.20421505928752312,4.461472376465168,-0.3476822727483796,3.47570697819728,-0.09224284400112036,2.5454876819461645,0.4016334701333551,3.219692026578146,0.06880179023050925,3.22259697286235,milliseconds,12500.0,17500.0
-105.60755868239632,320.3710559287843,-2.358709288081936,50.611125579592255,1.5585273245100917,33.91022892306687,-0.06959248608746542,26.883516241832314,1.2875775280275843,13.28038705391544,1.7674530258981522,11.203195461764839,0.06293424995228575,7.720743949134908,-0.907590222554977,4.690769758642683,0.228305824386728,5.619351165649815,-0.31428684215317976,3.0146833978178433,-0.10883963186557599,2.65444001735251,0.24682184340283314,2.530411743653556,-0.18542719348225786,2.592234622645556,milliseconds,15000.0,20000.0
-105.79166811944437,289.6831292554255,-2.5882592253318504,53.44635614150587,1.2327374038438426,34.22548311726996,0.0074093151221297044,22.601445597508263,0.6179130045647961,13.246821372199589,0.5416435884305877,10.349598110452222,-0.41282595332132876,7.001308457646569,-0.8371062054002317,4.947877223533471,0.1441987616821297,5.145387621419467,-2.3656658763884322E-4,3.211313382121838,-0.13502773883796299,2.7383312100560735,0.37049391175081964,2.1241770522108885,0.08099935619185178,1.9201457721979285,milliseconds,17500.0,22500.0
-108.86222748657411,354.98886421068016,-0.3582494753020838,61.943108150963695,2.376828060329537,40.51398580943906,0.21072019455305555,24.82973597838555,0.06681930579277776,13.280501223127805,0.3113319445137359,9.651051408536214,0.029104183516712918,5.761148361175007,-1.4428690695239366,6.049315902713037,-0.06295189606652789,5.391373455627069,-0.7902616758521297,5.231416883714709,-0.33049461442083305,4.798861803787175,0.2647039465206344,2.8078061669463206,-0.2239331136276805,2.5233706243658496,milliseconds,20000.0,25000.0
-112.2671514235944,366.78264803741644,1.036541369490323,65.7981820851189,3.4227081660502305,43.57943499343374,1.4218628270816054,31.107435179734708,0.728735871402364,15.616724910568399,0.3974123205410597,9.89321935659573,0.447986206399447,5.4172781886697265,-1.9470451469127192,6.606833404106596,-0.17998884663754827,7.137318956957579,-1.6607047110381377,5.502533054510588,-0.4600339346783871,5.302124030484421,-0.003579526994516136,4.061721766149444,-0.9240372861765387,3.173969215456232,milliseconds,22500.0,27500.0
-112.89012501333336,443.78213710215454,1.7304890309811303,57.193634864682245,4.080254437205157,38.93259398832978,2.561935723125824,28.726421961501277,1.8225737832818665,13.495737083851578,0.27740778496074087,9.588267020791207,0.13378353262178708,5.573508402076793,-1.5462360011561582,5.202191291705831,-0.04116860175572672,7.016919947623199,-1.0414819920287315,5.052209796839027,-0.17024068309439835,4.065952608402962,-0.1438971856179629,4.640425662691497,-0.7259570649887958,3.1347014954060586,milliseconds,25000.0,30000.0
-113.44354698013889,495.8143689415761,2.1461314561020575,63.073401219225424,3.9296653921606186,36.19117672935969,2.125257891332731,24.498613409474153,1.7747621303138885,14.004143039897098,0.363560664232037,9.334202760070268,-0.18135791282511118,5.870363909345659,-1.5933812005536576,5.187100396990934,0.3234504504625509,6.456368931889312,-0.7598044726015275,4.334343310293223,-0.13207841649722682,4.345557374167445,-0.12354371598199079,5.098693618609017,-0.39737330120013886,2.8848571715618285,milliseconds,27500.0,32500.0
-111.50631921299531,416.7607576263059,0.7110969286044708,53.58154581478617,1.8712670949154377,44.34773060485993,1.2051427950131421,21.388928708080922,0.3614406322593083,14.416967340607608,-0.24180012133169576,8.915374426933514,-0.4756486328129956,8.54665827051408,-1.4270944098013685,8.119990528372718,-0.2414947915639402,8.589197505481552,-1.7672126963071892,5.491138573953684,-0.8901884060663826,5.8568315680632415,-0.16373927423783402,5.224555745760742,0.07993148241184347,4.505621363274987,milliseconds,30000.0,35000.0
-108.15823756884258,362.7865387006924,-1.734616839762963,47.700056028283655,1.2050283982253245,40.50175337473899,0.8769207099050087,28.671061757175785,-0.18987208764879623,13.667105066311976,-0.23150645308800039,10.539038402420886,-0.07628282518453716,8.640112920557145,-0.9861381614941066,8.242546341196585,-0.4992861006403992,7.429778604014736,-1.8563842600812483,5.9251982836158925,-1.288108275211407,5.337886247570265,-0.31293975598925955,5.151487796335538,-0.10728137017402764,5.326269299275692,milliseconds,32500.0,37500.0
-105.49900213291669,304.32573745959536,-2.629934072095324,46.400158160335934,1.1927986974587976,30.903019079543352,-0.1773045580906017,38.97310176252841,0.030215140846990642,14.769982616274289,0.46749800003203706,11.121097918686736,-0.1475046940359259,6.515074688540735,-1.360233823835278,6.6318248404790845,0.2701734654256889,5.461666127850092,-1.049480351760533,4.98181910383476,-0.9460249829273155,4.120444478383205,-0.4766828866142593,5.387115088577144,-0.8168007472104633,4.586033426703322,milliseconds,35000.0,40000.0
-108.7656975517511,410.63244330754515,-1.5171596942193097,49.726928547095326,2.2876881789952535,39.10403098867949,0.6115530639513826,36.88283395524112,1.1077070512106912,18.038877813350695,0.9805649019904612,11.661562594282012,0.1266665757153839,6.03442471316248,-1.060882024197327,6.753902669314465,0.7709627206451699,7.353373842485377,-1.2934965182858065,4.6053477937721,-0.7014101523862167,4.7094651977791875,-0.6225103034665437,4.521993902908722,-0.6580521729833182,4.069062432210908,milliseconds,37500.0,42500.0
-111.84855460296296,538.7072859668635,0.746564896931713,55.24866733630579,2.5458136846565274,51.19105910254321,1.744205462670045,27.914063998132516,1.8415735507134454,16.465152100496866,0.7031081191461109,12.026778958452692,0.43240692727138075,5.10228159675961,-1.3214313568996756,6.4628436946502426,0.5021673283813518,9.309704590722266,-1.3583100208062733,5.005284803123935,-0.7175649094449954,5.1581055029373655,-0.39846697660921265,4.582647805060704,-0.5947902591856481,4.042871290329747,milliseconds,40000.0,45000.0
-112.79082220916668,508.3258337073899,0.23405878308912065,61.56568858885017,0.456001876293704,49.524556230723704,-0.3233416637834265,40.925280325720934,0.3678800637960371,17.629612620422822,-0.011408231478935204,9.615038070338983,-0.2659968348060139,5.245335333022178,-1.8552351310652266,7.88713013725848,-0.017323976706185226,10.554494497291525,-1.5038472299697685,5.019989072902368,-1.1927994943774534,5.653612801061307,-0.6432427164273148,5.192963778401681,-0.6904933031213888,5.014390985115386,milliseconds,42500.0,47500.0
-116.0266514195852,568.4109821714234,-1.4634811208576046,64.34866429074644,1.8153178098829494,47.05873889877588,0.18149415422013748,39.22925127702052,0.26748714946087565,17.43630070439681,-0.1786093740849231,9.355354223153274,-0.3693999268994512,4.8719141990508215,-1.8890773486432222,7.66540947386982,-0.46977637454242394,10.443255956429624,-1.8281303760235004,5.186216525514375,-1.292597386650691,4.743301784116784,-0.8479134329253913,4.708006638951575,-0.9258733707858989,4.432811980057448,milliseconds,45000.0,50000.0
-117.02731849995371,627.5252647899804,-0.023723500856018397,67.53599136683067,3.644280122158056,33.27266605152065,2.2216929187386576,23.75906806691296,1.448507205244955,17.18798058287602,0.237889861985332,11.064371324380208,0.33883632065503694,5.464116876357518,-1.7426151396121625,7.0587771010155445,-0.22066137517643533,7.662239968378197,-1.4790323639794904,6.080983366509697,-0.7900327883518519,4.264161822930641,-0.1963373970073148,3.9709858724054254,-0.9865084762162967,3.22289558581233,milliseconds,47500.0,52500.0
-115.87688060925926,583.3695994321965,0.0746152514532408,70.13483210816614,3.0295226441520353,31.443790139908547,1.9978332038996771,19.799035081408935,1.4754131376661586,17.83422432235011,0.18423731010870395,11.578768607770225,0.45304167524541644,6.606718819758023,-1.5429239274004483,8.843819927736426,0.3005632435807406,5.682885448343798,-1.2287333589427318,5.066538677610645,-0.5720504140400001,4.552862255382503,0.10509676318361107,3.9239672947511908,-0.7921077348490179,3.2955007284260747,milliseconds,50000.0,55000.0
-114.40490926239632,499.0326006862734,-1.248395400877554,64.71958269299358,2.0242886292940083,44.384838612231185,0.8896404186822124,22.435667314414783,0.8817382335742856,14.7163026320354,0.07467961101972335,10.052617496114468,-0.0014697877225345337,5.811903841305721,-1.6181575381680011,8.403940546847057,-0.13670877658161293,6.087410649170464,-1.6100997064262528,5.370888597235029,-0.7371688518248387,4.618447235286525,-0.045995039996820315,4.062342765065154,-0.7651469182280094,3.846081458422527,milliseconds,52500.0,57500.0
-109.24345457967601,358.7182911781223,-1.9211065536621714,46.94680494418854,1.3132227248762038,46.70855400331853,0.0898130745644444,31.368568583105134,0.5128625251611573,11.323881697904072,0.36945397789472206,11.27599861855832,-0.2356147013969586,5.429018582601928,-1.481455621406047,6.92300685039404,-0.24337547090643522,6.182825605463387,-1.568776617539291,6.20056820922047,-0.8531349619816667,4.497158810292114,-0.13879788438013896,4.127990260856403,-0.7963946630165226,3.803507107703596,milliseconds,55000.0,60000.0
-108.44115528875,391.8817236610867,-0.8843245772789536,57.47491943570847,1.0624606643410186,49.599765345576834,-0.3652093363313427,32.15367403260058,0.6560181616355555,12.08895631830221,0.6673891204928701,10.51910862349447,-0.09637838381834717,5.663980991572769,-1.398238791733398,6.2326174388356534,0.025592596859277825,5.261142791506065,-1.2275052873779164,5.334757230221089,-0.8733301088323613,4.1136130240308875,0.06192198746065279,3.76027123388412,-0.5744319331333751,3.689408600619839,milliseconds,57500.0,62500.0
